Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month)
0,0,A,0,0,0,0,22380000000.0,21780000000.0,115.67,23.29,2.42,4.85,4.96,4.72,19.38,4.25,19.84,6.91,4.44,4620000000.0,14.32,13.5,2410000000.0,1120000000.0,196000000.0,0.6,,2890000000.0,8.95,2140000000.0000002,47.39,3.23,14.0,988000000.0,599120000.0,1.53,69.75,68.34,2350000.0,322480000.0,321930000.0,0.25,87.97,,0.0,0.0,200.0
0,0,AA,0,0,0,0,8930000000.0,8750000000.0,41.34,12.89,1.5,0.77,1.96,0.75,3.88,1.86,12.9,5.49,7.71,11650000000.0,63.33,25.1,1430000000.0,2260000000.0,217000000.0,1.16,,1360000000.0,7.29,1400000000.0,20.65,1.3,24.42,1220000000.0,1130000000.0,,47.6,47.36,4120000.0,186180000.0,185750000.0,6.22,0.0,7490000.0,1.86,4.07,5760000.0
0,0,AAPL,0,0,0,0,869030000000.0,934420000000.0,17.66,12.99,1.28,3.63,6.21,3.91,12.6,21.13,26.87,10.89,37.07,239180000000.0,46.26,12.7,88190000000.0,74170000000.0,50520000000.0,9.7,12.2,77150000000.0,15.21,122400000000.0,87.3,1.24,27.59,64660000000.0,44580000000.0,1.08,171.53,167.95,35960000.0,5070000000.0,4910000000.0,0.06,63.02,42830000.0,1.46,0.82,33490000.000000004
0,0,ABBV,0,0,0,0,178570000000.0,206460000000.0,34.08,12.85,0.87,6.33,35.13,7.32,17.0,18.82,37.72,9.72,109.09,28220000000.0,17.68,13.9,21180000000.0,12140000000.0,5280000000.0,3.3,-96.3,9790000000.0,6.16,37370000000.0,733.14,1.27,3.2,9960000000.0,6450000000.0,1.49,115.21,99.87,6280000.0,1590000000.0,1590000000.0,0.07,74.09,15150000.0,2.3,1.07,12640000.0
0,0,ABC,0,0,0,0,19660000000.0,21190000000.0,20.25,12.09,1.33,0.13,6.8,0.14,8.61,0.63,1.3,3.61,39.23,155440000000.0,712.08,6.0,4550000000.0,2460000000.0,979090000.0,4.42,248.6,3040000000.0,13.83,4640000000.0,161.32,0.95,13.16,1940000000.0,2089999999.9999998,1.06,96.21,88.4,1960000.0,219670000.0,162200000.0,26.12,69.0,10620000.0,4.39,6.65,11020000.0
0,0,ABT,0,0,0,0,109010000000.0,128650000000.0,232.04,19.45,1.86,3.98,3.52,4.7,21.59,1.74,10.73,2.85,1.36,27390000000.0,15.74,42.3,15050000000.0,5960000000.0,344000000.0,0.27,,9610000000.0,5.5,27920000000.0,89.79,2.26,17.72,5570000000.0,3890000000.0,1.71,60.46,56.86,7090000.0,1750000000.0,1730000000.0,0.73,73.72,13370000.0,2.44,0.78,12100000.0
0,0,ACE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ACI,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ACN,0,0,0,0,104060000000.0,96790000000.0,28.72,22.38,2.4,2.9,10.95,2.7,16.53,9.94,14.77,15.25,41.99,35860000000.0,57.96,11.8,11030000000.0,5850000000.0,3560000000.0,5.64,11.9,3680000000.0,5.97,25200000.0,0.25,1.25,14.79,4890000000.0,3800000000.0,1.0,159.26,149.32,2250000.0,642220000.0,615370000.0,0.23,77.3,8860000.0,5.47,1.35,9210000.0
0,0,ACT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ADBE,0,0,0,0,111910000000.0,108780000000.0,60.51,30.95,1.34,14.54,12.93,14.13,39.94,24.4,31.2,10.72,23.16,7700000000.0,15.62,23.6,6290000000.0,2720000000.0,1880000000.0,3.75,46.3,6150000000.0,12.49,1870000000.0,21.71,2.12,17.55,3170000000.0,2380000000.0,0.85,206.44,180.87,2780000.0,493330000.0,490440000.0,0.36,88.4,5730000.0,1.79,1.16,4900000.0
0,0,ADI,0,0,0,0,34320000000.0,40890000000.0,43.79,16.2,2.0,6.08,3.32,7.25,17.21,13.8,29.78,6.76,9.94,5640000000.0,15.61,54.3,3060000000.0,2380000000.0,774820000.0,2.12,23.5,827550000.0,2.24,7430000000.0,71.85,1.76,27.98,1180000000.0,1430000000.0,1.05,89.89,88.87,3040000.0,369800000.0,368310000.0,0.4,89.67,7850000.0,4.24,2.56,7000000.0
0,0,ADM,0,0,0,0,23820000000.0,30700000000.0,15.28,13.66,-1.68,0.39,1.3,0.5,12.6,2.62,2.49,2.37,9.01,60830000000.0,106.9,-2.6,3510000000.0,2440000000.0,1600000000.0,2.79,85.8,804000000.0,1.44,7490000000.0,40.78,1.59,32.88,2210000000.0,643370000.0,0.98,42.47,41.77,3830000.0,558840000.0,545400000.0,2.32,79.45,12400000.0,3.68,2.22,11680000.0
