Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month)
2004-01-30 19:01:02,1075469462.0,a,23.393015,-41.37,85.241638,5.46,17450000000.0,16520000000.0,N/A,25.83,3.84,2.8,6.01,2.73,N/A,-29.56,-11.97,-24.95,-47.81,6060000000.0,12.803,N/A,2290000000.0,-363000000.0,-1790000000.0,-3.774,N/A,1610000000.0,3.37,1150000000.0,0.407,2.04,5.93,N/A,N/A,2.474,29.47,23.24,2989323.0,476150000.0,428500000.0,10.01,63.03,9300000.0,3.923,2.17,6930000.0
2004-04-13 04:07:11,1081809431.0,a,19.680344,-32.89,85.336929,5.64,15320000000.0,14770000000.0,N/A,20.83,2.89,2.43,4.98,2.35,N/A,-25.56,-6.2,-23.59,-46.82,6290000000.0,13.16,N/A,2290000000.0,-29000000.0,-1610000000.0,-3.391,N/A,1680000000.0,3.49,1150000000.0,0.375,2.284,6.394,N/A,N/A,2.496,33.53,27.32,3536636.0,480750000.0,432700000.0,10.0,66.79,7520000.0,2.328,1.74,9170000.0
2004-12-13 21:37:34,1102954054.0,a,15.129939000000002,50.92,91.71534,7.57,11610000000.0,10370000000.0,33.58,15.79,1.62,1.61,3.24,1.44,15.3,4.86,5.38,5.26,10.92,7180000000.0,14.61,N/A,2290000000.0,678000000.0,349000000.0,0.71,N/A,2320000000.0,4.75,1150000000.0,0.323,2.441,7.32,N/A,N/A,2.547,23.64,25.64,2780227.0,487000000.0,389600000.0,20.0,66.68,6930000.0,2.638,1.78,6540000.0
2005-01-22 05:17:19,1106351239.0,a,13.835259,57.11,89.400307,9.77,10710000000.0,9760000000.0,30.7,14.34,1.51,1.52,3.04,1.36,14.4,4.86,5.38,5.26,10.92,7180000000.0,14.61,N/A,3120000000.0,678000000.0,349000000.0,0.71,N/A,2320000000.0,4.71,1150000000.0,0.322,2.446,7.329,N/A,N/A,2.166,23.71,24.72,2459863.0,491070000.0,441400000.0,10.12,67.08,7040000.0,2.385,1.6,6930000.0
2006-01-09 02:35:16,1136754316.0,a,21.926983,4.47,100.317772,11.58,17120000000.000002,14870000000.0,52.82,19.69,1.81,3.31,4.26,2.89,35.665,6.38,3.58,1.68,3.69,5140000000.0,10.403,-22.8,3120000000.0,417000000.0,141000000.0,0.66,-64.9,2250000000.0,4.555,0.0,0.0,2.169,8.095,890000000.0,-250000000.0,N/A,34.92,30.86,3843670.0,494180000.0,N/A,0.57,70.4,10980000.0,2.3,2.2,5840000.0
2006-06-21 11:01:16,1150867876.0,a,20.727505,27.19,98.208015,23.81,13700000000.0,12620000000.0,5.08,17.3,1.26,2.53,3.37,2.33,7.549,56.5,9.38,12.15,28.88,5420000000.0,11.414,12.0,2520000000.0,1670000000.0,1150000000.0,6.33,21.1,2660000000.0,6.24,1500000000.0,0.368,2.565,9.563,725000000.0,1960000000.0,2.75,35.35,35.72,2766800.0,425820000.0,420030000.0,5.99,74.8,6920000.0,3.4,1.6,4620000.0
2006-08-19 10:42:01,1155964321.0,a,20.181709,12.91,102.670227,12.76,13540000000.0,12260000000.0,4.63,17.01,1.21,2.54,3.38,2.18,17.215,56.57,8.99,4.54,34.26,5630000000.0,12.408,-13.9,2520000000.0,712000000.0,1330000000.0,6.87,118.3,2250000000.0,5.499,1500000000.0,0.396,2.513,9.563,652000000.0,1200000000.0,2.76,29.27,34.2,3040930.0,425820000.0,403440000.0,6.24,72.7,7350000.0,2.5,1.8,9340000.0
2007-02-20 17:46:56,1171973816.0,a,21.8841,-2.95,115.875847,-5.21,13220000000.0,12580000000.0,4.33,15.11,1.13,2.68,3.67,2.53,7.322,66.5,11.12,13.7,37.19,4970000000.0,11.538,-21.0,2660000000.0,1720000000.0,1440000000.0,7.499,496.0,2260000000.0,5.556,1500000000.0,0.411,2.573,8.941,634000000.0,1010000000.0,2.75,33.0118,32.5942,2657080.0,407110000.0,401570000.0,8.76,67.6,5910000.0,2.8,1.5,5150000.0
2007-04-12 05:07:51,1176334671.0,a,23.487183,-13.59,115.23611499999998,-6.0,13970000000.0,12500000000.0,4.62,16.1,1.13,2.77,3.87,2.51,7.275,66.5,11.12,13.7,37.19,4970000000.0,11.538,-21.0,2660000000.0,1720000000.0,1440000000.0,7.5,496.0,2260000000.0,5.556,1500000000.0,0.411,2.573,9.03,634000000.0,1010000000.0,2.75,32.73,33.26,2840540.0,403650000.0,401570000.0,6.26,72.0,5910000.0,2.8,1.5,5150000.0
2008-01-23 19:28:50,1201096730.0,a,22.517252,-43.46,108.171539,-36.69,11950000000.0,12460000000.0,20.47,13.07,1.04,2.25,3.76,2.3,15.421,11.77,11.38,5.17,18.54,5420000000.0,13.756,8.9,2970000000.0,808000000.0,638000000.0,1.57,20.8,1830000000.0,4.916,2089999999.9999998,0.645,2.207,8.741,969000000.0,341750000.0,1.55,36.33,36.75,2459290.0,371470000.0,371230000.0,1.49,73.8,3640000.0,1.9,1.0,3510000.0
2008-02-14 04:44:34,1202944474.0,a,21.244215,-41.44,109.230156,-37.3,12140000000.0,12090000000.0,20.8,13.34,1.02,2.18,3.64,2.23,14.966,11.77,11.38,5.17,18.54,5420000000.0,13.756,8.9,2970000000.0,808000000.0,638000000.0,1.57,20.8,1830000000.0,4.916,2089999999.9999998,0.645,2.207,8.741,969000000.0,341750000.0,1.45,34.62,36.02,2983550.0,371470000.0,365900000.0,1.49,72.5,4890000.0,1.7,1.3,3640000.0
2008-04-26 04:49:23,1209165563.0,a,21.237478,-46.4,113.368515,-36.29,11510000000.0,12080000000.0,20.59,13.03,1.0,2.07,3.65,2.18,14.748,10.99,11.3,5.33,17.8,5530000000.0,14.362,8.8,2970000000.0,819000000.0,608000000.0,1.53,-20.0,1560000000.0,4.265,2130000000.0,0.67,1.896,8.622,880000000.0,-1680000000.0,1.46,30.42,33.98,2972050.0,365040000.0,358100000.0,4.68,68.3,5420000.0,2.1,1.5,0.0
2008-12-06 19:21:33,1228571493.0,a,11.625716,73.0,72.180115,29.52,6040000000.0,6740000000.0,9.24,7.64,0.64,1.06,2.4,1.17,6.764,12.0,13.77,6.63,23.93,5770000000.0,15.906,2.4,2970000000.0,996000000.0,693000000.0,1.87,28.3,1430000000.0,4.083,2130000000.0,0.83,2.421,7.311,756000000.0,195000000.0,1.33,20.28,30.55,3241510.0,350000000.0,340890000.0,1.59,75.9,4340000.0,1.6,1.2,4420000.0
2009-08-02 05:46:24,1249172184.0,a,15.64016,24.12,82.820206,16.3,7970000000.0,8710000000.0,22.83,18.73,3.04,1.53,3.29,1.68,11.422,7.01,11.21,5.1,13.02,5180000000.0,14.659,-25.1,3200000000.0,763000000.0,363000000.0,1.02,N/A,1410000000.0,4.112,2150000000.0,N/A,2.623,7.045,581000000.0,2109999999.9999998,1.25,20.28,17.9,3161780.0,343350000.0,342220000.0,0.26,78.6,9890000.0,3.2,2.9,8440000.0
2011-08-02 06:45:37,1312247737.0,a,26.228590000000004,-1.47,109.34861,11.97,14200000000.0,13850000000.0,16.18,12.44,0.63,2.38,3.71,2.25,11.89,14.46,14.8,6.94,27.0,6160000000.0,17.77,31.9,2930000000.0,1160000000.0,890000000.0,2.52,85.2,2980000000.0,8.55,2150000000.0,54.36,3.2,11.36,961000000.0,1930000000.0,1.55,47.83,46.32,3825080.0,348040000.0,345630000.0,0.25,82.1,4360000.0,1.2,1.4,5420000.0
